Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.00032,0.625,7152523.853960744,3723891.529083801,3384904.2733372664,0.9089696214030336,0.47324613555295725
2.0,0.0005,0.4,7949138.678757676,5997715.85082535,4982386.315234583,0.830713964975342,0.6267831669044741
2.0,0.0008,0.25,8768432.92917185,8060693.103511271,5726554.968292215,0.7104295988886742,0.6530876172001545
2.0,0.001,0.2,8571405.419124082,9275318.09171223,4749922.202660389,0.5121034293049835,0.554159087150703
2.0,0.002,0.1,8509036.998677306,9803181.722948125,3383486.809236204,0.34514170040486436,0.3976345160753388
2.0,0.0032,0.0625,8285077.670709407,10419920.353320675,2327476.0539445505,0.22336793132999508,0.2809238665526308
2.0,0.005,0.04,7960478.391566173,9278011.273504252,1416046.6369613963,0.1526239401115282,0.17788461538462869
2.0,0.008,0.025,7977487.960778919,6156613.576554418,866070.5657491744,0.14067320532302688,0.10856432125089809
2.0,0.013,0.015384615384615385,7743606.384103663,4020920.415484067,498947.3635739865,0.12408784855641558,0.06443346146806254
2.0,0.02,0.01,7545161.409954961,2464261.339697107,303337.3176273688,0.12309462180040258,0.040202893105394745
2.0,0.032,0.00625,7530986.76894434,1548579.530410726,214037.07926043362,0.13821510297483078,0.02842085450781324
2.7,0.00032,0.84375,4228295.413469516,1615373.1595668837,1503929.4112272644,0.9310105236801757,0.3556821991283763
2.7,0.0005,0.54,5743564.537504961,3379943.148983561,3029120.7839705483,0.8962046550639426,0.5273938795656706
2.7,0.0008,0.3375,6279365.967706456,5119852.126951015,4168761.9212248963,0.8142348290257138,0.6638826185102157
2.7,0.0013,0.2076923076923077,6694682.949317668,6662931.75345382,4552894.6926127495,0.6833170233587783,0.6800762227398368
2.7,0.002,0.135,6620974.8160624355,7038630.613440344,3783211.685735863,0.5374925739833225,0.5713979875830096
2.7,0.0032,0.084375,6469306.157248785,7031897.658960299,2783899.4944867147,0.39589590598483315,0.4303242769500693
2.7,0.005,0.054000000000000006,6130532.237094929,7637863.562164371,1846955.7236843626,0.2418157523569305,0.30127167630058466
2.7,0.008,0.03375,6088008.314063065,6664278.344349829,1128301.4244457313,0.16930586721401553,0.18533178114086976
2.7,0.013,0.02076923076923077,5754904.250313458,4555517.001199659,678965.3044089237,0.1490424257510451,0.11798029556650605
2.7,0.02,0.013500000000000002,5784670.996435763,3058107.9248372926,411064.5893081148,0.13441794711348704,0.07106101445724278
2.7,0.032,0.0084375,5607487.983802994,1926971.5721893308,303337.3176273688,0.15741660230240542,0.05409504550050692
2.7,0.05,0.0054,5513935.3531328915,1144602.2616079452,194192.58184555895,0.1696594427244586,0.035218508997430155
3.5,0.0005,0.7,4119150.6776877046,1991850.90883166,1815771.51346099,0.9116001129452249,0.4408121128698982
3.5,0.0008,0.4375,4513205.697783009,2954420.425844562,2610968.874157075,0.8837499400278122,0.5785175879396862
3.5,0.0013,0.2692307692307692,4873241.579452797,4296971.549165922,3458612.4065925227,0.8048953471111225,0.709714950552663
3.5,0.002,0.175,5101453.299723804,5146670.404547632,3420340.875863832,0.6645735217164084,0.6704640177827388
3.5,0.0032,0.109375,4956871.961415464,5032210.178386862,2684677.007412331,0.5334985845668588,0.5416070917929673
3.5,0.005,0.07,4782523.876984819,5461772.674213748,1997206.9183969758,0.36567009239074283,0.4176052163603899
3.5,0.008,0.04375,4676214.069405157,5463119.265109758,1311154.2934827795,0.24000103784233193,0.28038799636252887
3.5,0.013,0.026923076923076925,4499031.056772388,4598607.909871949,805119.6094034867,0.17507898589812712,0.178954001260236
3.5,0.02,0.0175,4284993.977512002,3113318.1515736817,561315.7840207358,0.1802950282280045,0.13099569963611776
3.5,0.032,0.0109375,4072374.362352638,1914852.2541252475,313259.5663348059,0.16359464060996745,0.07692307692307387
3.5,0.05,0.007,3946220.0573580647,1152681.8069840008,219706.93566468352,0.1906050172159376,0.05567528735631992
4.5,0.0005,0.9,2534425.8126996933,978996.1640847846,912846.8810842371,0.9324315197267528,0.36017897091722895
4.5,0.0008,0.5625,4382799.000485291,2315811.61315213,2188564.5720404135,0.9450529393716459,0.4993531694695746
4.5,0.0013,0.34615384615384615,4542972.443905314,3401488.6033197124,2980927.004534419,0.8763595449431044,0.6561622464898553
4.5,0.002,0.225,4826465.264117746,4429050.997298373,3467117.1911988985,0.7828126597128293,0.7183553597650663
4.5,0.0032,0.140625,4759844.451367824,4906977.225058021,3175119.5863799984,0.6470622219654698,0.6670637284097745
4.5,0.005,0.09,4728660.241144457,4788477.226209224,2571279.8793273214,0.5369723521401946,0.543764988009586
4.5,0.008,0.05625,4559982.01311806,4962187.4517943915,1876722.4698066728,0.37820467042776174,0.41156356854210324
4.5,0.013,0.03461538461538462,4265149.480097132,4777704.499041152,1202009.5577009756,0.2515872544947494,0.28182120305748387
4.5,0.02,0.0225,4066704.5059483876,3895687.462155196,742751.1889567365,0.1906598504557209,0.1826420355524506
4.5,0.032,0.0140625,3832822.929273055,2541017.0207696483,432326.5508240515,0.17013917942710363,0.11279585798816119
4.5,0.05,0.009,3845580.1061826185,1605136.3480431156,328851.67144649284,0.20487460261392046,0.0855141909325439
4.5,0.08,0.005625,3683989.1986614796,946653.3998945786,177183.01263280923,0.18716777719547695,0.048095421315889286
6.5,0.0008,0.8125,2724366.0022420846,1174295.1781167877,1105621.998828733,0.9415196616934207,0.40582726326742957
6.5,0.0013,0.5,3340962.886204325,1963572.5000154653,1855460.508290737,0.9449411764913814,0.5553669919388806
6.5,0.002,0.325,3550747.573161593,2877778.2850955846,2472057.392252938,0.8590159308158201,0.6962075848303159
6.5,0.0032,0.203125,3689659.05506573,3608863.601305174,2688929.399715519,0.7450903377847382,0.7287744909719353
6.5,0.005,0.13,3662727.2371455403,3622329.5102652693,2418193.7564125583,0.6675797299941025,0.6602167182662284
6.5,0.008,0.08125,3523815.7552414034,3553653.374568785,1987284.6696895391,0.5592229911648838,0.5639581657280484
6.5,0.013,0.05,3343797.8144064504,3559039.738152823,1448648.3112858313,0.40703347471969903,0.4332344213649704
6.5,0.02,0.0325,3277177.001656507,3418994.284967836,972380.3733288624,0.28440538131464294,0.2967128027681616
6.5,0.032,0.0203125,3121255.9505396187,2720113.60993891,574072.9609302983,0.21104742053152373,0.18392370572206668
6.5,0.05,0.013,2980927.004534419,1869068.1636609323,338773.92015392997,0.18125284392537913,0.11364717070850983
6.5,0.08,0.008125,2705938.9689282705,1039568.1717192222,182852.86903705914,0.17589310062721505,0.06757464641173369
8.5,0.0013,0.6538461538461539,1705209.3135781237,805631.4733415291,741333.724855674,0.9201896268784454,0.43474646716542814
8.5,0.002,0.425,1868217.6852002984,1259854.9806174117,1109874.3911319203,0.880954084562978,0.5940819423368892
8.5,0.0032,0.265625,1995789.4542959135,1707795.1158749505,1431638.7420730826,0.8382965431656095,0.7173295454545553
8.5,0.005,0.17,1963187.7799714785,1938118.8627907573,1394784.6754454605,0.7196589962687153,0.7104693140794327
8.5,0.008,0.10625,1900819.3595247334,1868139.369253129,1233193.7679243481,0.6601187193102042,0.6487695749440845
8.5,0.013,0.06538461538461539,1759072.9494184945,1784800.6388301675,905759.5605789246,0.5074850046964332,0.5149073327961448
8.5,0.02,0.0425,1686782.2802643126,1673812.4837395882,659120.8069940486,0.39378413854427596,0.3907563025210146
8.5,0.032,0.0265625,1574802.616280384,1560698.8484748097,426656.6944198017,0.2733754143771883,0.2709270927092733
8.5,0.05,0.017,1550705.7265623233,1205198.8519283624,273570.5715050574,0.2269920611584839,0.17641681901279965
8.5,0.08,0.010625,1437308.5984773322,731198.8565330779,144581.33830837227,0.19773189880779268,0.10059171597633246
8.5,0.13,0.006538461538461538,1073020.3245042982,387818.1780506904,52446.17173931138,0.13523391812865543,0.0488771466314395
10.0,0.0013,0.7692307692307693,996858.7911694236,425826.0115005795,385626.37320556166,0.9055960950967809,0.3868415232143161
10.0,0.002,0.5,1171094.30935905,650434.5241104063,579570.1432202365,0.8910507080061743,0.4948962168020783
10.0,0.0032,0.3125,1263097.9102387356,1064437.017995233,902749.2685040381,0.8481002194045087,0.7147104442072992
10.0,0.005,0.2,1320821.9310726097,1226445.4561503115,940927.5122865596,0.7671988245119649,0.7123802915071629
10.0,0.008,0.125,1233472.2295299578,1193868.4080254459,826686.6814787962,0.6924437198619434,0.670211020311194
10.0,0.013,0.07692307692307693,1175291.6934592826,1155312.3769740176,696569.3447437038,0.6029272763165155,0.5926778421222937
10.0,0.02,0.05,1131491.3717398797,1097454.4909167406,561843.4772270841,0.5119515040279778,0.49655126964259977
10.0,0.032,0.03125,1082269.865523809,1043992.8915049394,391755.15475847555,0.37524695612989434,0.36197548064305524
10.0,0.05,0.02,1006207.2784985657,887747.6697835169,240717.67543791648,0.2711555137020152,0.23923269149584037
10.0,0.08,0.0125,922072.60283171,548445.6840657317,136690.72388879771,0.24923292836490843,0.1482429078458863
10.0,0.13,0.007692307692307693,696368.59122678,320760.8375871236,54898.592355911045,0.17115116910430106,0.07883553774186912
12.0,0.0013,0.9230769230769231,602122.2632784809,229794.06675606474,209392.25987773007,0.9112169989141105,0.3477570464470376
12.0,0.002,0.6,1107675.4934626322,546015.4160184428,488342.90745452995,0.8943756771842412,0.4408718170047737
12.0,0.0032,0.375,1177472.9134218625,795334.0735778271,697496.1350720867,0.8769851037996972,0.5923670320747236
