Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.00032,0.625,7152523.853960744,1711396.1628124241,228211.72027105838,0.13334827156327528,0.03190646056282428
2.0,0.0005,0.4,7949138.678757676,2835308.9233014607,274988.03560611984,0.09698697498046215,0.03459343794579466
2.0,0.0008,0.25,8768432.92917185,3874754.6310151084,348696.1688613671,0.08999180646698542,0.03976721629486197
2.0,0.001,0.2,8571405.419124082,4684584.806912157,334521.5278507426,0.07140900242795314,0.03902761700016841
2.0,0.002,0.1,8509036.998677306,5423460.717756445,392637.55599430297,0.07239612793890166,0.046143594869235714
2.0,0.0032,0.0625,8285077.670709407,5863037.169712157,382715.30728686583,0.06527594763750322,0.046193327630457325
2.0,0.005,0.04,7960478.391566173,6303279.318990833,406812.19700492744,0.06453976992250104,0.05110398860399265
2.0,0.008,0.025,7977487.960778919,5911824.428338555,374210.52268049115,0.06329865293135209,0.04690831556503576
2.0,0.013,0.015384615384615385,7743606.384103663,5815980.938358444,443666.26363255107,0.07628399548327536,0.05729452681677159
2.0,0.02,0.01,7545161.409954961,5266015.694094105,392637.55599430297,0.07456065055686226,0.052038324253244395
2.0,0.032,0.00625,7530986.76894434,4549202.263666628,318929.4227390557,0.07010667019276488,0.04234895539243681
2.7,0.00032,0.84375,4228295.413469516,833160.8297863019,117649.52038818522,0.14120865525850662,0.027824337914849766
2.7,0.0005,0.54,5743564.537504961,2158991.503778575,215454.5433614961,0.09979406726910074,0.03751233958539114
2.7,0.0008,0.3375,6279365.967706456,3060389.577497049,274988.03560611984,0.0898539315478325,0.04379232505643551
2.7,0.0013,0.2076923076923077,6694682.949317668,3986031.4843224003,259395.93049443286,0.06507623723361747,0.0387465593902204
2.7,0.002,0.135,6620974.8160624355,4679878.7493379675,256561.0022923079,0.05482214733204401,0.03874973239135313
2.7,0.0032,0.084375,6469306.157248785,5082047.020463464,239551.4330795582,0.04713679982002843,0.03702892199824915
2.7,0.005,0.054000000000000006,6130532.237094929,5555669.689831176,277822.96380824473,0.05000710613101391,0.045317919075146484
2.7,0.008,0.03375,6088008.314063065,5581756.422071092,317511.95863799326,0.05688387930768601,0.05215366705471687
2.7,0.013,0.02076923076923077,5754904.250313458,5165447.743483461,307589.7099305561,0.059547540737121964,0.05344827586207057
