Q2,x,y,gen,rec,gen_rec,purity,stability
2.0,0.001,0.7692307692307692,5783936.37009797,3534384.842258407,3263878.2340773623,0.923464302770098,0.5643005083788772
2.0,0.002,0.3846153846153846,6596366.521122635,4086995.6462271945,3316152.560148677,0.8113912632155355,0.5027241208519597
2.0,0.0032,0.24038461538461536,7146335.993331022,4875153.04583593,2649654.902739417,0.5435018917001173,0.3707711063700449
2.0,0.005,0.15384615384615385,7390282.848330385,5814429.726972817,2426399.968476511,0.4173066117250633,0.32832301797822044
2.0,0.008,0.09615384615384615,7371769.024513469,6513816.647868314,2265220.7964232913,0.3477563030830164,0.30728320283648525
2.0,0.013,0.0591715976331361,7519879.615048797,7059048.759276489,2333830.8493918916,0.33061548786229034,0.3103548153512225
2.0,0.02,0.038461538461538464,7580866.328798638,7474956.366081207,2499366.2152843876,0.3343653250774353,0.32969400948142946
2.0,0.032,0.024038461538461536,7616804.927972651,7199822.080436363,2572332.462092264,0.35727722620839564,0.33771804403778216
2.0,0.05,0.015384615384615385,7511167.227370248,6618310.847587907,2209679.3249725197,0.3338736085171723,0.29418587791795914
2.0,0.08,0.009615384615384616,7632051.606410111,5941685.039502619,1818710.9278975392,0.3060934593143268,0.23829908675801084
2.0,0.13,0.005917159763313609,5603154.325768084,4147695.511643461,827676.8294623898,0.19955101022698638,0.14771622934889114
2.7,0.0013,0.7988165680473374,3694052.375705888,2318792.0653695697,1859005.7209108355,0.8017129904291554,0.5032429245282702
2.7,0.002,0.5192307692307693,4594695.451976073,2762371.4183307053,2572332.462092264,0.9312044155332011,0.5598483052856013
2.7,0.0032,0.3245192307692308,5161000.651081738,3254975.652163507,2322940.364793701,0.7136582921133977,0.4500949567419288
2.7,0.005,0.2076923076923077,5474646.607509491,3804277.887567915,1865540.0116697485,0.49037953241170645,0.3407598965585861
2.7,0.008,0.12980769230769232,5448509.444473845,4544014.053899767,1693470.355018375,0.37268158393238326,0.310813511892868
2.7,0.013,0.07988165680473373,5566126.678134252,5159530.43566091,1746833.7295494971,0.33856447816955976,0.31383290941107905
2.7,0.02,0.051923076923076926,5665230.087977744,5578610.090727424,1865540.0116697485,0.33440946424461276,0.3292964244521391
2.7,0.032,0.03245192307692308,5606421.47114754,5508189.300071831,1946129.597696341,0.35331567084503834,0.3471250971251009
2.7,0.05,0.02076923076923077,5516030.448982597,5026067.5469101425,1774059.9410449676,0.35297176659227353,0.3216189536031629
2.7,0.08,0.012980769230769231,5461578.025991668,4564637.714485007,1505064.9714697192,0.3297227656630191,0.27557328015952715
2.7,0.13,0.007988165680473374,4271248.059409953,3091372.9580420414,762333.9218732537,0.24660043683505828,0.1784803671596085
2.7,0.2,0.005192307692307692,3526338.912893754,2559590.595112398,427996.0447088404,0.1672126962515449,0.12137121680049237
3.5,0.002,0.673076923076923,3343378.771644153,1992621.2731634665,1794751.8617815252,0.9006989365983202,0.5368078175895491
3.5,0.0032,0.4206730769230769,3706031.9087638976,2168649.8134940024,1896033.3685446754,0.874292085677907,0.5116074052306459
3.5,0.005,0.2692307692307692,3990273.5567766703,2461372.2317650416,1437543.9669609524,0.5840416774061412,0.36026200873360564
3.5,0.008,0.16826923076923075,4234220.411776121,3117306.1191140567,1332995.3148183457,0.42761129766658434,0.3148148148148
3.5,0.013,0.10355029585798818,4180857.0372450044,3711164.244253386,1315570.5394612446,0.35448998019916844,0.31466527741597833
3.5,0.02,0.0673076923076923,4129671.759633509,4000782.8744139336,1319926.7333005199,0.3299171124086241,0.3196202531645415
3.5,0.032,0.04206730769230769,3993540.7021561274,4059754.84851311,1358043.4293941786,0.3345136541659809,0.3400599945459341
3.5,0.05,0.026923076923076925,4061061.7066649087,3808348.0115639144,1349331.041715628,0.35430875477199875,0.3322606596942718
3.5,0.08,0.016826923076923076,4027301.204410518,3478311.8758157506,1243693.3411132025,0.35755659225397246,0.3088155759870073
3.5,0.13,0.010355029585798817,3079829.0443679425,2359913.5600045747,586997.119842405,0.24873670366183542,0.19059405940594062
3.5,0.2,0.006730769230769231,2714997.81032856,1915037.2641685081,359385.9917402474,0.1876652733941914,0.13237063778580202
4.5,0.002,0.8653846153846153,2169384.5319592147,1543448.6853432758,1102117.041336756,0.714061343148338,0.5080321285140776
4.5,0.0032,0.5408653846153846,3254076.797938991,1964471.705948042,1820889.0248171769,0.9269102829548909,0.5595716198125561
4.5,0.005,0.34615384615384615,3640689.0011747545,2275076.6849846705,1682579.8704201868,0.7395706182235893,0.4621597367633606
4.5,0.008,0.21634615384615383,3863943.93543766,2625804.7414693963,1292700.5218050494,0.4923064161585968,0.3345546786922073
4.5,0.013,0.13313609467455623,3892259.1953929556,3035504.7720533237,1236070.0018944708,0.407204104330348,0.3175713486289752
4.5,0.02,0.08653846153846154,3874834.4200358507,3394509.5968326745,1215378.0811579132,0.35804231700860406,0.31365935919054533
4.5,0.032,0.05408653846153846,3734347.168719193,3552802.7904673736,1266563.3587693977,0.3564969500045851,0.33916593759112224
4.5,0.05,0.03461538461538462,3769196.7194334026,3577633.095351248,1376557.2532110985,0.3847675869836366,0.3652123663680857
4.5,0.08,0.021634615384615384,3608017.547380183,3150344.932141243,1225179.5172962826,0.38890329271453655,0.3395713854512425
4.5,0.13,0.013313609467455622,2881622.224680875,2056776.9212139414,637093.348994076,0.3097532563804021,0.2210884353741514
4.5,0.2,0.008653846153846154,2408975.1931194062,1830200.389148622,410571.2693517374,0.22433132010354787,0.17043399638336854
4.5,0.32,0.005408653846153846,1538825.4737241026,1164955.1374682963,141576.29977646025,0.12152940076657087,0.09200283085633634
6.5,0.0032,0.78125,2316406.074034787,1346721.6280576042,1146768.0281893276,0.8515256637285372,0.4950634696756135
6.5,0.005,0.5,2731333.5372258457,1617839.258542172,1441900.1608002277,0.8912505696638353,0.5279106858054156
6.5,0.008,0.3125,2779251.669457884,1933254.5294720489,1223001.420376645,0.6326127272597849,0.4400470219435728
6.5,0.013,0.19230769230769232,3005773.749100247,2212857.806253741,1060733.1998636408,0.47934991433516905,0.35289855072463866
6.5,0.02,0.125,2963300.859167304,2610405.0312338504,1043308.4245065391,0.39967300553868546,0.3520764424843827
6.5,0.032,0.078125,2943697.986890561,2780772.076553922,1031328.8914485308,0.3708786132255066,0.3503514613392549
6.5,0.05,0.05,2904492.242337075,2777779.323663282,1036774.1337476255,0.3732384804349208,0.35695538057743065
6.5,0.08,0.03125,2780340.717917703,2515685.225589208,957273.5961808432,0.38052200905088857,0.3443008225616966
6.5,0.13,0.019230769230769232,2058301.5890576795,1672510.8431086412,521654.21225326887,0.3118988521973868,0.25343915343916623
6.5,0.2,0.0125,1910190.99852232,1422627.1170226184,405126.0270526427,0.284773165227246,0.21208665906500393
6.5,0.32,0.0078125,1197953.305800812,975897.1033340443,159001.07513356322,0.16292811464482646,0.13272727272727347
8.5,0.005,0.6538461538461539,1342796.750956715,755638.2829178423,679566.2389270145,0.8993274352153241,0.5060827250608385
8.5,0.008,0.40865384615384615,1424475.3854431265,922632.5970706756,719861.0319403152,0.780225015055665,0.5053516819572003
8.5,0.013,0.2514792899408284,1499619.729170625,1055374.2067883394,559770.9083469316,0.530400406553802,0.3732752360203454
8.5,0.02,0.16346153846153846,1526845.9406660956,1202563.9821716673,508585.63073544163,0.42291773101087315,0.33309557774608756
8.5,0.032,0.10216346153846154,1505064.9714697192,1532542.55153558,555414.7145076558,0.3624138944469374,0.3690303907380721
8.5,0.05,0.06538461538461539,1433187.773121677,1547737.4813171818,573928.5383245777,0.3708177551118962,0.4004559270516826
8.5,0.08,0.040865384615384616,1494174.486871531,1423319.5125112,581551.8775433103,0.4085884247573217,0.38921282798835
8.5,0.13,0.02514792899408284,1054198.909104728,931411.0726288566,310378.8110483953,0.3332350453730039,0.294421487603305
8.5,0.2,0.016346153846153847,991034.0984352302,825253.1441949356,255926.38805744852,0.3101186464513431,0.2582417582417572
8.5,0.32,0.010216346153846154,589175.2167620428,533230.6174228073,83856.73140605728,0.15726165877599244,0.14232902033271622
8.5,0.5,0.006538461538461538,589175.2167620428,533230.6174228073,83856.73140605728,0.15726165877599244,0.14232902033271622
10.0,0.005,0.7692307692307693,807931.0895604405,454469.1935467868,397367.1861335403,0.874354503618587,0.49183301802351753
10.0,0.008,0.4807692307692307,892493.1979797807,549424.0613634015,459874.8009691695,0.8370124887286251,0.5152698104704074
10.0,0.013,0.2958579881656805,953504.1079534818,609100.7235967171,361259.73800480005,0.5931034458005151,0.37887591148419536
10.0,0.02,0.19230769230769232,958803.014491819,776854.7935976791,321567.54087039153,0.4139351955095566,0.33538436572482777
10.0,0.032,0.12019230769230768,989633.1221270415,887166.5965812546,340380.0324477179,0.3836709291799208,0.34394567525805037
10.0,0.05,0.07692307692307693,896469.29770074,953125.6914054569,327724.3676900335,0.34384171011776926,0.3655723274969699
10.0,0.08,0.04807692307692308,938199.4635011959,923472.8019827348,350764.91733087465,0.3798324288249396,0.3738703026133499
10.0,0.13,0.029585798816568046,692209.8020143867,604437.6457731683,200092.03381687804,0.33103833822416817,0.2890626992489762
10.0,0.2,0.019230769230769232,647514.735923036,545115.4767336391,176353.78643151216,0.3235163813147141,0.2723548618242932
10.0,0.32,0.01201923076923077,369251.9147448648,343482.98414703377,54545.84182664772,0.15880216588341517,0.14771986183019864
10.0,0.5,0.007692307692307693,369251.9147448648,343482.98414703377,54545.84182664772,0.15880216588341517,0.14771986183019864
