Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
3.5,0.002,0.67308,0.52868,0.0061496,0.010319
3.5,0.0032,0.42067,0.5128,0.0061118,0.0095788
3.5,0.005,0.26923,0.48762,0.0062073,0.0089707
3.5,0.008,0.16827,0.46115,0.0062176,0.0081618
3.5,0.013,0.10355,0.43726,0.0060671,0.0071333
3.5,0.02,0.067308,0.4198,0.005841,0.0061952
3.5,0.032,0.042067,0.40488,0.0057217,0.005465
3.5,0.05,0.026923,0.39455,0.0060718,0.0052417
3.5,0.08,0.016827,0.38596,0.0071119,0.005445
3.5,0.13,0.010355,0.37513,0.0081271,0.0056704
3.5,0.2,0.0067308,0.35685,0.007326,0.0054936
4.5,0.002,0.86538,0.54422,0.0061632,0.010346
4.5,0.0032,0.54087,0.54706,0.0059103,0.009086
4.5,0.005,0.34615,0.523,0.0059766,0.0084525
4.5,0.008,0.21635,0.49214,0.0059601,0.0077229
4.5,0.013,0.13314,0.46236,0.0057922,0.0067748
4.5,0.02,0.086539,0.43973,0.0055641,0.0058928
4.5,0.032,0.054087,0.41961,0.0054702,0.0052271
4.5,0.05,0.034615,0.40486,0.00586,0.0050772
4.5,0.08,0.021635,0.39217,0.0069083,0.0053207
4.5,0.13,0.013314,0.3775,0.0078307,0.0055362
4.5,0.2,0.0086538,0.35561,0.0068876,0.005301
4.5,0.32,0.0054087,0.30358,0.003803,0.0037573
6.5,0.0032,0.78125,0.57388,0.0056824,0.0087492
6.5,0.005,0.5,0.56783,0.0057103,0.0078593
6.5,0.008,0.3125,0.53547,0.0056718,0.0072018
6.5,0.013,0.19231,0.49819,0.0054697,0.0063529
6.5,0.02,0.125,0.46817,0.0052243,0.0055312
6.5,0.032,0.078125,0.44042,0.0051371,0.0049245
6.5,0.05,0.05,0.41913,0.0055371,0.0048428
6.5,0.08,0.03125,0.40026,0.006538,0.005104
6.5,0.13,0.019231,0.37983,0.0073153,0.0052889
6.5,0.2,0.0125,0.35278,0.0062581,0.0049882
6.5,0.32,0.0078125,0.29333,0.0034757,0.0034985
8.5,0.005,0.65385,0.58821,0.0055108,0.0075456
8.5,0.008,0.40865,0.56366,0.0055064,0.0068998
8.5,0.013,0.25148,0.52321,0.0052905,0.006115
8.5,0.02,0.16346,0.48826,0.0050249,0.0053306
8.5,0.032,0.10216,0.45506,0.0049284,0.0047437
8.5,0.05,0.065385,0.429,0.0053102,0.0046856
8.5,0.08,0.040865,0.40558,0.0062438,0.004935
8.5,0.13,0.025148,0.38093,0.0069077,0.0050868
8.5,0.2,0.016346,0.3502,0.0058104,0.004746
8.5,0.32,0.010216,0.28599,0.003282,0.0033338
8.5,0.5,0.0065385,0.15419,0.0027076,0.0028295
10.0,0.005,0.76923,0.59091,0.0053677,0.0074126
10.0,0.008,0.48077,0.57792,0.005411,0.0067387
10.0,0.013,0.29586,0.53756,0.0052016,0.0059943
10.0,0.02,0.19231,0.50007,0.0049245,0.00523
10.0,0.032,0.12019,0.46367,0.0048174,0.0046522
10.0,0.05,0.076923,0.43474,0.0051797,0.004599
10.0,0.08,0.048077,0.4086,0.0060644,0.0048321
10.0,0.13,0.029586,0.38141,0.0066577,0.0049612
10.0,0.2,0.019231,0.3485,0.0055487,0.0045994
10.0,0.32,0.012019,0.28164,0.0031772,0.003241
10.0,0.5,0.0076923,0.14885,0.0026119,0.0027201
12.0,0.005,0.92308,0.58164,0.0051675,0.0073149
12.0,0.008,0.57692,0.58963,0.0052897,0.0065681
12.0,0.013,0.35503,0.55251,0.005112,0.0058758
12.0,0.02,0.23077,0.51288,0.0048272,0.0051356
12.0,0.032,0.14423,0.4731,0.0047036,0.0045652
12.0,0.05,0.092308,0.441,0.0050401,0.004511
12.0,0.08,0.057692,0.41183,0.0058654,0.0047196
12.0,0.13,0.035503,0.38182,0.0063797,0.0048212
12.0,0.2,0.023077,0.34652,0.0052646,0.0044369
12.0,0.32,0.014423,0.27688,0.0030687,0.0031418
12.0,0.5,0.0092308,0.14326,0.002513,0.0026059
12.0,0.8,0.0057692,0.0061027,0.00055348,0.00074277
15.0,0.008,0.72115,0.59405,0.0051136,0.0063312
15.0,0.013,0.44379,0.56815,0.0050554,0.0056937
15.0,0.02,0.28846,0.52765,0.0047866,0.0049842
15.0,0.032,0.18029,0.48422,0.0046398,0.0044191
15.0,0.05,0.11539,0.44837,0.0049242,0.0043638
15.0,0.08,0.072115,0.41555,0.0056569,0.0045532
15.0,0.13,0.044379,0.38216,0.0060625,0.0046372
15.0,0.2,0.028846,0.34403,0.0049372,0.0042405
15.0,0.32,0.018029,0.27123,0.0029397,0.0030346
15.0,0.5,0.011539,0.13694,0.0023981,0.0024866
15.0,0.8,0.0072115,0.0055113,0.0005061,0.00069356
18.0,0.008,0.86538,0.58589,0.0047966,0.0063321
18.0,0.013,0.53254,0.57741,0.0045725,0.0060008
18.0,0.02,0.34615,0.53868,0.0042313,0.0054399
18.0,0.032,0.21635,0.49299,0.004082,0.0049088
18.0,0.05,0.13846,0.45426,0.0044444,0.0047597
18.0,0.08,0.086539,0.4185,0.0052323,0.0047813
18.0,0.13,0.053254,0.38238,0.0056758,0.0046712
18.0,0.2,0.034615,0.34199,0.0046587,0.0041268
18.0,0.32,0.021635,0.26676,0.0029024,0.0028949
18.0,0.5,0.013846,0.13214,0.0023535,0.0023313
22.0,0.013,0.65089,0.58098,0.0047625,0.0054393
22.0,0.02,0.42308,0.54853,0.004579,0.0048856
22.0,0.032,0.26442,0.50174,0.0044199,0.0043562
22.0,0.05,0.16923,0.46023,0.0046498,0.0042704
22.0,0.08,0.10577,0.42145,0.00526,0.0043838
22.0,0.13,0.065089,0.38246,0.0055219,0.0043869
22.0,0.2,0.042308,0.33973,0.0044219,0.0039306
22.0,0.32,0.026442,0.26206,0.0027587,0.002843
22.0,0.5,0.016923,0.12726,0.0022358,0.0022806
22.0,0.8,0.010577,0.0046772,0.00044064,0.00062012
27.0,0.013,0.79882,0.57518,0.0045359,0.0052285
27.0,0.02,0.51923,0.55575,0.0044784,0.0047996
27.0,0.032,0.32452,0.51002,0.0043404,0.0043089
27.0,0.05,0.20769,0.46618,0.0045367,0.0042081
27.0,0.08,0.12981,0.42446,0.0050747,0.0042888
27.0,0.13,0.079882,0.38264,0.0052611,0.0042604
27.0,0.2,0.051923,0.33755,0.0041726,0.0037843
27.0,0.32,0.032452,0.25752,0.0026656,0.002765
27.0,0.5,0.020769,0.1227,0.0021514,0.0021944
27.0,0.8,0.012981,0.0043185,0.00041002,0.00058712
35.0,0.02,0.67308,0.55718,0.0043266,0.0046431
35.0,0.032,0.42067,0.51847,0.0042498,0.0042487
35.0,0.05,0.26923,0.47307,0.0044102,0.0041365
35.0,0.08,0.16827,0.42811,0.0048634,0.0041773
35.0,0.13,0.10355,0.3828,0.0049603,0.0041099
35.0,0.2,0.067308,0.33488,0.003896,0.0036108
35.0,0.32,0.042067,0.25208,0.0025635,0.0026676
35.0,0.5,0.026923,0.11736,0.0020577,0.0020887
35.0,0.8,0.016827,0.0039192,0.00037678,0.00054909
45.0,0.02,0.86538,0.54521,0.0041229,0.0044127
45.0,0.032,0.54087,0.52276,0.004159,0.0041774
45.0,0.05,0.34615,0.47859,0.004303,0.0040758
45.0,0.08,0.21635,0.43115,0.0046735,0.0040785
45.0,0.13,0.13314,0.38279,0.0046957,0.0039766
45.0,0.2,0.086539,0.33231,0.0036591,0.0034579
45.0,0.32,0.054087,0.24704,0.0024769,0.0026006
45.0,0.5,0.034615,0.1126,0.0019742,0.0019951
45.0,0.8,0.021635,0.0035825,0.00034838,0.00051594
60.0,0.032,0.72115,0.51915,0.0040394,0.0040585
60.0,0.05,0.46154,0.4824,0.004194,0.0040088
60.0,0.08,0.28846,0.43387,0.0044821,0.00398
60.0,0.13,0.17752,0.38252,0.0044247,0.0038389
60.0,0.2,0.11539,0.32932,0.003422,0.0033001
60.0,0.32,0.072115,0.24151,0.0023887,0.0025373
60.0,0.5,0.046154,0.10757,0.0018862,0.0018974
60.0,0.8,0.028846,0.0032472,0.00031967,0.00048176
70.0,0.032,0.84135,0.5117,0.0039677,0.0039729
70.0,0.05,0.53846,0.48286,0.0041473,0.0039763
70.0,0.08,0.33654,0.43488,0.0043905,0.0039325
70.0,0.13,0.2071,0.38227,0.0042942,0.0037729
70.0,0.2,0.13462,0.3277,0.0033087,0.0032225
70.0,0.32,0.084135,0.23864,0.0023465,0.0025068
70.0,0.5,0.053846,0.10504,0.001842,0.0018488
70.0,0.8,0.033654,0.0030864,0.00030572,0.00046491
90.0,0.05,0.69231,0.47957,0.0040883,0.0039233
90.0,0.08,0.43269,0.43571,0.0042713,0.0038711
90.0,0.13,0.26627,0.38166,0.0041027,0.0036758
90.0,0.18,0.17308,0.34035,0.0034435,0.0033112
90.0,0.32,0.10817,0.23413,0.0022821,0.0024598
90.0,0.5,0.069231,0.10115,0.0017745,0.0017747
90.0,0.8,0.043269,0.0028484,0.00028487,0.00043935
120.0,0.08,0.71006,0.42865,0.0042826,0.0038688
120.0,0.13,0.35503,0.38072,0.0039242,0.0035892
120.0,0.18,0.25641,0.33795,0.0032709,0.0032027
120.0,0.25,0.18462,0.2835,0.002452,0.002504
120.0,0.4,0.11539,0.16719,0.0021719,0.0023862
120.0,0.65,0.071006,0.027091,0.00085616,0.00088825
150.0,0.08,0.88757,0.42148,0.0043316,0.0038877
150.0,0.13,0.44379,0.37976,0.0038247,0.0035481
150.0,0.18,0.32051,0.33623,0.0031607,0.0031348
150.0,0.25,0.23077,0.28064,0.0023866,0.0024408
150.0,0.4,0.14423,0.16353,0.0021239,0.0023318
150.0,0.65,0.088757,0.025876,0.00082682,0.00085728
200.0,0.13,0.59172,0.37803,0.0037688,0.003548
200.0,0.18,0.42735,0.33426,0.0030588,0.0030792
200.0,0.25,0.30769,0.27736,0.0023188,0.0023761
200.0,0.4,0.19231,0.1592,0.0020674,0.002266
200.0,0.65,0.11834,0.024452,0.00079232,0.00082047
250.0,0.13,0.73964,0.37578,0.0038008,0.0036039
250.0,0.18,0.53419,0.33302,0.0030205,0.0030728
250.0,0.25,0.38461,0.27529,0.0022802,0.0023507
250.0,0.4,0.24038,0.1562,0.0020281,0.0022193
250.0,0.65,0.14793,0.023454,0.00076798,0.00079448
300.0,0.13,0.88757,0.37275,0.0038821,0.0036868
300.0,0.18,0.64103,0.33217,0.0030243,0.0031019
300.0,0.25,0.46154,0.27404,0.0022599,0.0023459
300.0,0.4,0.28846,0.15404,0.0019991,0.0021843
300.0,0.65,0.17752,0.022708,0.00074977,0.00077493
400.0,0.18,0.8547,0.3305,0.0031058,0.0032379
400.0,0.25,0.61538,0.27314,0.0022551,0.0023786
400.0,0.4,0.38461,0.15133,0.0019621,0.0021376
400.0,0.65,0.23669,0.021663,0.00072425,0.00074754
500.0,0.25,0.76923,0.27324,0.0022801,0.0024456
500.0,0.4,0.48077,0.15002,0.0019428,0.0021105
500.0,0.65,0.29586,0.020977,0.00070807,0.00072966
650.0,0.4,0.625,0.14967,0.0019349,0.0020936
650.0,0.65,0.38461,0.020341,0.00069486,0.0007135
800.0,0.4,0.76923,0.1503,0.0019417,0.0020933
800.0,0.65,0.47337,0.02,0.00069124,0.00070563
1000.0,0.65,0.59172,0.019828,0.0006981,0.00070338
1200.0,0.65,0.71006,0.019843,0.00071501,0.00070668
1500.0,0.65,0.88757,0.019968,0.00074759,0.00071433
