x,Q2,y,gen,rec,gen_rec,purity,stability
0.001,2.0,0.7692307692307692,5783936.37009797,4153116.5996165555,861437.3317167768,0.20741949113499744,0.14893617021277597
0.002,2.0,0.3846153846153846,6596366.521122635,5733182.209231631,1257850.9710908472,0.21939839432722757,0.19068845963349737
0.0032,2.0,0.24038461538461536,7146335.993331022,7073369.746523176,1598723.1390141377,0.22602001539647626,0.22371228284061512
0.005,2.0,0.15384615384615385,7390282.848330385,8060263.209491383,1877519.5447277555,0.23293526475870882,0.2540524609490319
0.008,2.0,0.09615384615384615,7371769.024513469,8041533.8273019,1955931.0338347105,0.24322860238355368,0.26532722706457834
0.013,2.0,0.0591715976331361,7519879.615048797,8239884.352570594,2222747.9064903483,0.2697547455016063,0.29558291093412997
0.02,2.0,0.038461538461538464,7580866.328798638,8341022.153752011,2314227.9771151487,0.2774513644079159,0.3052722310013203
0.032,2.0,0.024038461538461536,7616804.927972651,9128404.19020085,2552729.589815521,0.27964686232406566,0.3351444094938868
0.05,2.0,0.015384615384615385,7511167.227370248,9120780.85098212,2705196.3741901885,0.29659701492541557,0.36015658982170085
0.08,2.0,0.009615384615384616,7632051.606410111,8643777.62558158,2712819.713408922,0.31384654151446834,0.3554509132420491
0.13,2.0,0.005917159763313609,5603154.325768084,4714490.7825561175,1421208.24006367,0.3014553014552963,0.2536443148688127
0.0013,2.7,0.7988165680473374,3694052.375705888,2024347.1886995698,326714.53794567933,0.16139254163983555,0.08844339622641333
0.002,2.7,0.5192307692307693,4594695.451976073,4037390.0517123127,755799.63111434,0.18720005286429905,0.16449395591372393
0.0032,2.7,0.3245192307692308,5161000.651081738,5042581.780124935,1157658.5127875158,0.22957654694870086,0.2243089259337474
0.005,2.7,0.2076923076923077,5474646.607509491,5543328.513268918,1364577.7201530915,0.24616576789319597,0.24925402824747092
0.008,2.7,0.12980769230769232,5448509.444473845,5952810.734160706,1530113.086045552,0.2570404392776792,0.2808315010993457
0.013,2.7,0.07988165680473373,5566126.678134252,6116096.150342639,1700004.645777288,0.2779558404558518,0.30541968303659306
0.02,2.7,0.051923076923076926,5665230.087977744,6105205.665744453,1791484.7164020687,0.293435604709251,0.3162245290273031
0.032,2.7,0.03245192307692308,5606421.47114754,6545253.096302018,2073548.267495143,0.3168018466186847,0.36985236985237263
0.05,2.7,0.02076923076923077,5516030.448982597,6550626.485810255,2106219.7212897097,0.32152950955944926,0.38183613030602304
0.08,2.7,0.012980769230769231,5461578.025991668,6490728.820520232,2220569.80957071,0.34211409395974907,0.40658025922233665
0.13,2.7,0.007988165680473374,4271248.059409953,4218973.733338661,1267652.4072292165,0.3004646360350926,0.29678735339111517
0.2,2.7,0.005192307692307692,3526338.912893754,1886231.932406306,677388.1420073766,0.3591224018475916,0.1920938851142655
0.002,3.5,0.673076923076923,3343378.771644153,2657956.056687744,460667.49850340845,0.17331644642668656,0.1377850162866437
0.0032,3.5,0.4206730769230769,3706031.9087638976,3278251.4224275774,729662.4680786856,0.22257672583830174,0.19688510138113077
