Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
3.5,0.0008,0.84135,0.59566,0.0077028,0.0095129
3.5,0.0013,0.51775,0.58562,0.0059529,0.0097751
3.5,0.002,0.33654,0.5566,0.0059542,0.0096634
3.5,0.0032,0.21034,0.52162,0.006093,0.0093872
3.5,0.005,0.13462,0.49071,0.0062139,0.0089217
3.5,0.008,0.084135,0.46225,0.0062261,0.008155
3.5,0.013,0.051775,0.43765,0.0060724,0.007135
3.5,0.02,0.033654,0.41996,0.0058438,0.006197
3.5,0.032,0.021034,0.40494,0.0057229,0.0054659
3.5,0.05,0.013461,0.39457,0.0060723,0.005242
3.5,0.08,0.0084135,0.38597,0.007112,0.0054451
3.5,0.13,0.0051775,0.37513,0.0081271,0.0056704
4.5,0.0013,0.66568,0.62575,0.0059127,0.0093631
4.5,0.002,0.43269,0.6039,0.0058187,0.0090339
4.5,0.0032,0.27043,0.56594,0.0059148,0.0087613
4.5,0.005,0.17308,0.52928,0.0060023,0.0083822
4.5,0.008,0.10817,0.49423,0.0059781,0.0077169
4.5,0.013,0.066568,0.46306,0.0058015,0.0067788
4.5,0.02,0.043269,0.44,0.0055685,0.0058959
4.5,0.032,0.027043,0.41971,0.0054719,0.0052284
4.5,0.05,0.017308,0.40489,0.0058606,0.0050777
4.5,0.08,0.010817,0.39218,0.0069084,0.0053208
4.5,0.13,0.0066568,0.3775,0.0078306,0.0055362
6.5,0.002,0.625,0.6599,0.0057504,0.008443
6.5,0.0032,0.39062,0.62799,0.0057816,0.00804
6.5,0.005,0.25,0.58517,0.0058078,0.0077465
6.5,0.008,0.15625,0.54078,0.0057204,0.0072038
6.5,0.013,0.096154,0.49984,0.00549,0.0063645
6.5,0.02,0.0625,0.46877,0.0052327,0.005538
6.5,0.032,0.039062,0.44062,0.00514,0.004927
6.5,0.05,0.025,0.41919,0.0055379,0.0048435
6.5,0.08,0.015625,0.40028,0.006538,0.0051041
6.5,0.13,0.0096154,0.37984,0.0073151,0.0052888
6.5,0.2,0.00625,0.35278,0.006258,0.0049881
8.5,0.002,0.81731,0.6764,0.0057316,0.0083717
8.5,0.0032,0.51082,0.66667,0.0057369,0.0076735
8.5,0.005,0.32692,0.62428,0.0057316,0.0073927
8.5,0.008,0.20433,0.57422,0.0056043,0.0069218
8.5,0.013,0.12574,0.52629,0.0053268,0.006139
8.5,0.02,0.081731,0.48934,0.0050387,0.0053426
8.5,0.032,0.051082,0.4554,0.0049328,0.0047477
8.5,0.05,0.032692,0.42911,0.0053113,0.0046866
8.5,0.08,0.020433,0.40562,0.0062437,0.0049351
8.5,0.13,0.012574,0.38094,0.0069074,0.0050867
8.5,0.2,0.0081731,0.3502,0.0058103,0.0047459
