Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
8.5,0.32,0.0051082,0.28599,0.0032819,0.0033337
10.0,0.0032,0.60096,0.6841,0.0057087,0.007522
10.0,0.005,0.38461,0.64632,0.0057104,0.0072253
10.0,0.008,0.24038,0.59401,0.0055599,0.006785
10.0,0.013,0.14793,0.54211,0.0052538,0.0060311
10.0,0.02,0.096154,0.50161,0.0049433,0.005247
10.0,0.032,0.060096,0.46415,0.0048229,0.0046575
10.0,0.05,0.038462,0.4349,0.005181,0.0046004
10.0,0.08,0.024039,0.40865,0.0060642,0.0048321
10.0,0.13,0.014793,0.38142,0.0066573,0.0049609
10.0,0.2,0.0096154,0.3485,0.0055485,0.0045993
10.0,0.32,0.0060096,0.28164,0.0031771,0.003241
12.0,0.0032,0.72115,0.69453,0.0056447,0.0074082
12.0,0.005,0.46154,0.66838,0.005686,0.0070672
12.0,0.008,0.28846,0.61551,0.0055268,0.00666
12.0,0.013,0.17752,0.55958,0.005191,0.005935
12.0,0.02,0.11539,0.5152,0.0048541,0.0051609
12.0,0.032,0.072115,0.47379,0.0047109,0.0045726
12.0,0.05,0.046154,0.44122,0.0050415,0.0045127
12.0,0.08,0.028846,0.41189,0.005865,0.0047195
12.0,0.13,0.017751,0.38183,0.0063792,0.0048208
12.0,0.2,0.011539,0.34652,0.0052643,0.0044367
12.0,0.32,0.0072115,0.27688,0.0030687,0.0031417
15.0,0.0032,0.90144,0.68788,0.0054186,0.0074449
15.0,0.005,0.57692,0.68872,0.0056213,0.0069228
15.0,0.008,0.36058,0.64005,0.0055288,0.0065126
15.0,0.013,0.22189,0.58042,0.0051882,0.0057982
15.0,0.02,0.14423,0.5315,0.004829,0.0050254
15.0,0.032,0.090144,0.48533,0.0046503,0.0044303
15.0,0.05,0.057692,0.44871,0.0049258,0.0043661
15.0,0.08,0.036058,0.41564,0.005656,0.0045531
15.0,0.13,0.022189,0.38218,0.0060616,0.0046367
15.0,0.2,0.014423,0.34403,0.0049368,0.0042401
15.0,0.32,0.0090144,0.27123,0.0029396,0.0030345
15.0,0.5,0.0057692,0.13694,0.002398,0.0024866
18.0,0.005,0.69231,0.69628,0.005778,0.0067191
18.0,0.008,0.43269,0.65768,0.0053363,0.0066595
18.0,0.013,0.26627,0.59681,0.0047627,0.0061779
18.0,0.02,0.17308,0.54459,0.0042917,0.0055043
18.0,0.032,0.10817,0.49464,0.0040964,0.0049249
18.0,0.05,0.069231,0.45474,0.0044462,0.0047624
18.0,0.08,0.043269,0.41863,0.0052308,0.0047808
18.0,0.13,0.026627,0.3824,0.0056745,0.0046703
18.0,0.2,0.017308,0.34198,0.0046582,0.0041264
18.0,0.32,0.010817,0.26676,0.0029023,0.0028948
18.0,0.5,0.0069231,0.13214,0.0023535,0.0023313
22.0,0.005,0.84615,0.68908,0.0053474,0.0065547
22.0,0.008,0.52885,0.67205,0.0054172,0.0063091
22.0,0.013,0.32544,0.61319,0.0050788,0.0057199
22.0,0.02,0.21154,0.5581,0.0046734,0.0049854
22.0,0.032,0.13221,0.50431,0.00444,0.0043801
22.0,0.05,0.084615,0.46096,0.0046515,0.0042741
22.0,0.08,0.052885,0.42162,0.0052575,0.004383
22.0,0.13,0.032544,0.38249,0.0055199,0.0043856
22.0,0.2,0.021154,0.33973,0.0044211,0.00393
22.0,0.32,0.013221,0.26206,0.0027586,0.0028429
22.0,0.5,0.0084615,0.12726,0.0022358,0.0022806
22.0,0.8,0.0052885,0.0046772,0.00044063,0.00062013
27.0,0.008,0.64904,0.67948,0.0052582,0.0061836
27.0,0.013,0.39941,0.62828,0.0050247,0.0056751
27.0,0.02,0.25961,0.57153,0.0046256,0.0049597
27.0,0.032,0.16226,0.51411,0.0043696,0.0043452
27.0,0.05,0.10385,0.4673,0.0045382,0.004213
27.0,0.08,0.064904,0.42472,0.0050705,0.0042873
27.0,0.13,0.039941,0.38268,0.0052581,0.0042585
27.0,0.2,0.025961,0.33754,0.0041715,0.0037833
27.0,0.32,0.016226,0.25751,0.0026655,0.0027648
27.0,0.5,0.010385,0.12269,0.0021514,0.0021943
27.0,0.8,0.0064904,0.0043184,0.00041001,0.00058713
35.0,0.008,0.84135,0.67098,0.0049846,0.0059283
35.0,0.013,0.51775,0.64237,0.0049547,0.0055964
35.0,0.02,0.33654,0.58701,0.004582,0.004932
35.0,0.032,0.21034,0.52595,0.0042976,0.0043115
35.0,0.05,0.13462,0.47504,0.0044109,0.0041437
35.0,0.08,0.084135,0.42855,0.0048556,0.004174
35.0,0.13,0.051775,0.38286,0.0049553,0.0041065
35.0,0.2,0.033654,0.33487,0.0038942,0.0036092
35.0,0.32,0.021034,0.25206,0.0025632,0.0026673
35.0,0.5,0.013461,0.11735,0.0020576,0.0020886
35.0,0.8,0.0084135,0.003919,0.00037676,0.00054911
45.0,0.013,0.66568,0.64613,0.0048206,0.0054581
45.0,0.02,0.43269,0.59886,0.0045322,0.004897
45.0,0.032,0.27043,0.53639,0.0042365,0.0042849
45.0,0.05,0.17308,0.48203,0.0043013,0.0040864
45.0,0.08,0.10817,0.43188,0.0046596,0.0040723
45.0,0.13,0.066568,0.38288,0.0046874,0.0039709
45.0,0.2,0.043269,0.33229,0.0036563,0.0034552
45.0,0.32,0.027043,0.24701,0.0024764,0.0026003
45.0,0.5,0.017308,0.11259,0.001974,0.001995
45.0,0.8,0.010817,0.0035823,0.00034836,0.00051596
60.0,0.013,0.88757,0.63034,0.0045392,0.005161
60.0,0.02,0.57692,0.60566,0.0044392,0.0048113
60.0,0.032,0.36058,0.54625,0.0041713,0.0042533
60.0,0.05,0.23077,0.48907,0.0041858,0.0040253
60.0,0.08,0.14423,0.43522,0.0044553,0.0039673
60.0,0.13,0.088757,0.38268,0.0044098,0.0038284
60.0,0.2,0.057692,0.32927,0.0034173,0.0032954
60.0,0.32,0.036058,0.24146,0.002388,0.0025367
60.0,0.5,0.023077,0.10755,0.0018859,0.0018972
60.0,0.8,0.014423,0.0032469,0.00031963,0.0004818
70.0,0.02,0.67308,0.60438,0.0043637,0.0047306
70.0,0.032,0.42067,0.55021,0.0041362,0.0042321
70.0,0.05,0.26923,0.49245,0.0041321,0.0039971
70.0,0.08,0.16827,0.43677,0.0043524,0.0039139
70.0,0.13,0.10355,0.38248,0.0042739,0.0037583
70.0,0.2,0.067308,0.32763,0.0033024,0.0032162
70.0,0.32,0.042067,0.23857,0.0023455,0.002506
70.0,0.5,0.026923,0.10502,0.0018416,0.0018485
70.0,0.8,0.016827,0.0030859,0.00030567,0.00046495
90.0,0.02,0.86538,0.59132,0.0041877,0.0045251
90.0,0.032,0.54087,0.55345,0.0040743,0.0041835
90.0,0.05,0.34615,0.49695,0.0040516,0.0039529
90.0,0.08,0.21635,0.43906,0.0042032,0.0038368
90.0,0.13,0.13314,0.38201,0.0040687,0.0036509
90.0,0.18,0.086539,0.34026,0.0034305,0.0032991
90.0,0.32,0.054087,0.23402,0.0022805,0.0024586
90.0,0.5,0.034615,0.10111,0.0017738,0.0017742
90.0,0.8,0.021635,0.0028477,0.0002848,0.00043943
120.0,0.025,0.92308,0.56222,0.0039904,0.0041831
120.0,0.04,0.57692,0.52695,0.0039721,0.0039916
120.0,0.08,0.35503,0.44029,0.0040791,0.0037771
120.0,0.13,0.17752,0.38137,0.0038624,0.0035429
120.0,0.18,0.12821,0.33783,0.0032444,0.0031778
120.0,0.25,0.092308,0.28324,0.0024454,0.002495
120.0,0.4,0.057692,0.16705,0.0021704,0.0023851
120.0,0.65,0.035503,0.027076,0.00085565,0.00088783
150.0,0.04,0.72115,0.52303,0.0039304,0.0039481
150.0,0.08,0.44379,0.44088,0.0040042,0.0037454
150.0,0.13,0.22189,0.38087,0.0037255,0.0034728
150.0,0.18,0.16026,0.33602,0.0031195,0.0030952
150.0,0.25,0.11539,0.28023,0.0023767,0.0024269
150.0,0.4,0.072115,0.16332,0.0021217,0.0023301
150.0,0.65,0.044379,0.025853,0.00082605,0.00085662
200.0,0.08,0.59172,0.4401,0.0039699,0.0037473
200.0,0.13,0.29586,0.38038,0.003586,0.0034082
200.0,0.18,0.21368,0.33393,0.0029852,0.0030062
200.0,0.25,0.15385,0.27661,0.0023014,0.002351
200.0,0.4,0.096154,0.15882,0.0020634,0.002263
200.0,0.65,0.059172,0.024414,0.00079105,0.00081934
250.0,0.08,0.73964,0.43739,0.0040142,0.0037961
250.0,0.13,0.36982,0.38023,0.0035131,0.0033862
250.0,0.18,0.26709,0.33263,0.0029043,0.0029558
250.0,0.25,0.19231,0.27411,0.002253,0.0023052
250.0,0.4,0.12019,0.15561,0.0020218,0.0022145
250.0,0.65,0.073965,0.023396,0.00076608,0.00079274
300.0,0.08,0.88757,0.43292,0.0041062,0.0038684
300.0,0.13,0.44379,0.38034,0.0034855,0.0033965
300.0,0.18,0.32051,0.33192,0.0028565,0.0029315
300.0,0.25,0.23077,0.27237,0.0022204,0.0022799
300.0,0.4,0.14423,0.15318,0.00199,0.0021773
300.0,0.65,0.088757,0.022626,0.00074709,0.00077244
400.0,0.13,0.59172,0.38107,0.0035276,0.0034969
400.0,0.18,0.42735,0.33177,0.0028265,0.0029483
400.0,0.25,0.30769,0.27044,0.0021848,0.0022616
400.0,0.4,0.19231,0.14981,0.0019458,0.0021244
400.0,0.65,0.11834,0.021521,0.00071958,0.00074316
500.0,0.13,0.73964,0.38186,0.0036624,0.0036798
500.0,0.18,0.53419,0.33282,0.0028577,0.0030361
500.0,0.25,0.38461,0.26995,0.0021759,0.002274
500.0,0.4,0.24038,0.14769,0.0019173,0.0020888
500.0,0.65,0.14793,0.02076,0.00070069,0.00072288
650.0,0.18,0.69444,0.33561,0.0029862,0.0032465
650.0,0.25,0.5,0.27107,0.0021975,0.0023366
650.0,0.4,0.3125,0.14598,0.0018933,0.0020551
650.0,0.65,0.19231,0.019984,0.00068171,0.00070216
800.0,0.18,0.8547,0.3384,0.0031672,0.003495
800.0,0.25,0.61538,0.27369,0.0022513,0.0024414
800.0,0.4,0.38461,0.14548,0.001884,0.0020385
800.0,0.65,0.23669,0.019475,0.00066991,0.00068878
1000.0,0.25,0.76923,0.27819,0.0023554,0.002621
1000.0,0.4,0.48077,0.14612,0.0018881,0.0020363
1000.0,0.65,0.29586,0.019057,0.00066188,0.0006783
1200.0,0.25,0.92308,0.28207,0.0024641,0.0027965
1200.0,0.4,0.57692,0.14779,0.0019103,0.0020493
1200.0,0.65,0.35503,0.018841,0.0006608,0.00067368
1500.0,0.4,0.72115,0.15134,0.0019707,0.002086
1500.0,0.65,0.44379,0.01877,0.00067051,0.00067448
2000.0,0.65,0.59172,0.019076,0.00071328,0.00068929
3000.0,0.65,0.88757,0.020152,0.00084678,0.00073396
