Q2,x,y,sigma_red_0,sigma_red_unc_+,sigma_red_unc_-
27.0,0.02,0.135,0.57447,0.0046549,0.0049914
27.0,0.032,0.084375,0.51492,0.0043756,0.0043527
27.0,0.05,0.054,0.46753,0.0045382,0.0042138
27.0,0.08,0.03375,0.42476,0.0050691,0.0042865
27.0,0.13,0.020769,0.38267,0.0052571,0.0042577
27.0,0.2,0.0135,0.33753,0.004171,0.0037828
27.0,0.32,0.0084375,0.25751,0.0026654,0.0027647
27.0,0.5,0.0054,0.12269,0.0021513,0.0021943
35.0,0.005,0.7,0.79873,0.0057612,0.0066017
35.0,0.008,0.4375,0.74216,0.005631,0.006405
35.0,0.013,0.26923,0.66075,0.0051403,0.0057722
35.0,0.02,0.175,0.59238,0.004633,0.0049888
35.0,0.032,0.10938,0.52736,0.004307,0.0043239
35.0,0.05,0.07,0.47541,0.0044105,0.0041447
35.0,0.08,0.04375,0.42863,0.0048532,0.0041726
35.0,0.13,0.026923,0.38286,0.0049536,0.0041051
35.0,0.2,0.0175,0.33485,0.0038935,0.0036085
35.0,0.32,0.010937,0.25205,0.002563,0.0026672
35.0,0.5,0.007,0.11735,0.0020576,0.0020886
45.0,0.005,0.9,0.78254,0.0054721,0.006383
45.0,0.008,0.5625,0.75808,0.0055895,0.0063458
45.0,0.013,0.34615,0.68047,0.0051504,0.0057805
45.0,0.02,0.225,0.60865,0.0046204,0.004998
45.0,0.032,0.14062,0.53885,0.0042514,0.0043054
45.0,0.05,0.09,0.48266,0.0043,0.0040874
45.0,0.08,0.05625,0.43199,0.0046555,0.0040697
45.0,0.13,0.034615,0.38287,0.0046847,0.0039686
45.0,0.2,0.0225,0.33226,0.0036552,0.0034541
45.0,0.32,0.014063,0.247,0.0024762,0.0026002
45.0,0.5,0.009,0.11258,0.0019739,0.0019949
45.0,0.8,0.005625,0.0035822,0.00034835,0.00051597
60.0,0.008,0.75,0.75767,0.0053982,0.0061626
60.0,0.013,0.46154,0.69793,0.005131,0.0057625
60.0,0.02,0.3,0.62539,0.0046049,0.0050065
60.0,0.032,0.1875,0.55099,0.004197,0.0042906
60.0,0.05,0.12,0.49023,0.0041824,0.0040263
60.0,0.08,0.075,0.43542,0.0044475,0.0039623
60.0,0.13,0.046154,0.38266,0.004405,0.0038243
60.0,0.2,0.03,0.32923,0.0034154,0.0032934
60.0,0.32,0.01875,0.24143,0.0023876,0.0025364
60.0,0.5,0.012,0.10754,0.0018857,0.0018971
60.0,0.8,0.0075,0.0032467,0.00031961,0.00048182
70.0,0.008,0.875,0.74527,0.0052063,0.0059855
70.0,0.013,0.53846,0.70351,0.0050941,0.0057267
70.0,0.02,0.35,0.6331,0.0045939,0.0050065
70.0,0.032,0.21875,0.55702,0.0041709,0.0042836
70.0,0.05,0.14,0.49407,0.0041267,0.0039978
70.0,0.08,0.0875,0.43704,0.0043415,0.0039067
70.0,0.13,0.053846,0.38245,0.0042674,0.0037527
70.0,0.2,0.035,0.32757,0.0032999,0.0032136
70.0,0.32,0.021875,0.23853,0.002345,0.0025056
70.0,0.5,0.014,0.10501,0.0018414,0.0018484
70.0,0.8,0.00875,0.0030857,0.00030565,0.00046498
90.0,0.013,0.69231,0.70332,0.0049661,0.0055942
90.0,0.02,0.45,0.6428,0.0045615,0.0049875
90.0,0.032,0.28125,0.56586,0.0041314,0.0042716
90.0,0.05,0.18,0.49979,0.0040407,0.0039526
90.0,0.08,0.1125,0.4395,0.0041845,0.0038241
90.0,0.13,0.069231,0.38196,0.0040579,0.0036414
90.0,0.18,0.045,0.34017,0.0034258,0.0032942
90.0,0.32,0.028125,0.23395,0.0022798,0.002458
90.0,0.5,0.018,0.10109,0.0017735,0.001774
90.0,0.8,0.01125,0.0028473,0.00028476,0.00043946
120.0,0.013,0.92308,0.68212,0.0046776,0.0052837
120.0,0.02,0.66667,0.639,0.0044243,0.0048385
120.0,0.032,0.48,0.56895,0.0040658,0.0042199
120.0,0.05,0.3,0.50464,0.0039591,0.00391
120.0,0.08,0.18462,0.44187,0.0040289,0.0037446
120.0,0.13,0.092308,0.38127,0.0038432,0.0035258
120.0,0.18,0.066667,0.33764,0.003235,0.003168
120.0,0.32,0.048,0.22896,0.0022141,0.0024081
120.0,0.5,0.03,0.096945,0.0017018,0.0016956
120.0,0.8,0.018461,0.0026066,0.00026343,0.00041285
150.0,0.02,0.83333,0.62834,0.0042869,0.0046756
150.0,0.032,0.6,0.56947,0.0040185,0.0041775
150.0,0.05,0.375,0.5079,0.0039065,0.0038845
150.0,0.08,0.23077,0.44352,0.0039216,0.003691
150.0,0.13,0.11539,0.3807,0.0036953,0.0034456
150.0,0.18,0.083333,0.33572,0.0031051,0.0030798
150.0,0.33,0.06,0.21727,0.0021632,0.0023868
150.0,0.5,0.0375,0.093941,0.0016504,0.0016396
150.0,0.8,0.023077,0.0024402,0.00024854,0.00039391
200.0,0.025,0.8,0.6061,0.0041103,0.0043968
200.0,0.04,0.5,0.54695,0.0039067,0.0040006
200.0,0.08,0.30769,0.44546,0.0038127,0.0036431
200.0,0.13,0.15385,0.38006,0.0035315,0.003358
200.0,0.18,0.11111,0.33338,0.0029601,0.0029786
200.0,0.25,0.08,0.27616,0.0022941,0.0023407
200.0,0.4,0.05,0.15864,0.0020614,0.0022614
200.0,0.65,0.030769,0.024396,0.00079045,0.0008188
250.0,0.04,0.625,0.54662,0.0038871,0.0039884
250.0,0.08,0.38461,0.44682,0.0037604,0.0036313
250.0,0.13,0.19231,0.37973,0.0034262,0.0033048
250.0,0.18,0.13889,0.33176,0.0028654,0.0029118
250.0,0.25,0.1,0.27341,0.0022417,0.002287
250.0,0.4,0.0625,0.15532,0.0020188,0.0022121
250.0,0.65,0.038462,0.023369,0.0007652,0.00079192
300.0,0.04,0.75,0.54315,0.0038816,0.0039807
300.0,0.08,0.46154,0.44783,0.0037479,0.0036475
300.0,0.13,0.23077,0.37969,0.0033575,0.0032752
300.0,0.18,0.16667,0.33064,0.0028007,0.0028667
300.0,0.25,0.12,0.27135,0.0022042,0.0022525
300.0,0.4,0.075,0.15277,0.0019857,0.0021739
300.0,0.65,0.046154,0.022588,0.00074588,0.00077128
400.0,0.08,0.61538,0.44897,0.0038139,0.003747
400.0,0.13,0.30769,0.38031,0.0032913,0.0032661
400.0,0.18,0.22222,0.3295,0.0027261,0.0028196
400.0,0.25,0.16,0.2686,0.0021555,0.0022123
400.0,0.4,0.1,0.14908,0.0019381,0.0021183
400.0,0.65,0.061539,0.021456,0.0007175,0.00074119
500.0,0.08,0.76923,0.44863,0.0039623,0.003907
500.0,0.13,0.38461,0.38173,0.003293,0.0033187
500.0,0.18,0.27778,0.32943,0.002695,0.0028204
500.0,0.25,0.2,0.26706,0.0021288,0.0021952
500.0,0.4,0.125,0.14656,0.0019053,0.0020789
500.0,0.65,0.076923,0.020662,0.0006975,0.00071989
650.0,0.13,0.5,0.38504,0.0033881,0.0034872
650.0,0.18,0.36111,0.3308,0.0027034,0.0028862
650.0,0.25,0.26,0.26627,0.0021138,0.0021984
650.0,0.4,0.1625,0.14408,0.0018727,0.0020374
650.0,0.65,0.1,0.019824,0.00067641,0.00069716
800.0,0.13,0.61538,0.38926,0.0035704,0.0037365
800.0,0.18,0.44444,0.33355,0.0027638,0.0030093
800.0,0.25,0.32,0.26683,0.0021204,0.0022285
800.0,0.4,0.2,0.14262,0.0018524,0.00201
800.0,0.65,0.12308,0.019239,0.00066182,0.00068121
1000.0,0.13,0.76923,0.39519,0.0039041,0.0041474
1000.0,0.18,0.55556,0.33883,0.0029173,0.0032499
1000.0,0.25,0.4,0.26916,0.0021566,0.0023042
1000.0,0.4,0.25,0.14175,0.0018385,0.0019884
