Q2,x,y,gen,rec,gen_rec,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p_opt,sigma_p2p_pess,sigma_norm_opt,sigma_norm_pess
2.0,0.0005,0.7692307692307692,5807235.460316273,2627207.655141123,2277121.610484873,0.8667459559311291,0.3921180096873248,0.4307035884602735,0.0338207907756618,0.061695402166376895,1.2,4.2,2.5,4.3
2.0,0.0008,0.4807692307692307,6959221.182409027,4746027.7474006405,3895783.013558597,0.8208512931034347,0.5598015800110007,0.3956961839482352,0.0212404319878248,0.04590234402058427,1.2,4.2,2.5,4.3
2.0,0.001,0.3846153846153846,7505167.800981286,6712458.425068404,4852148.518692204,0.7228571428571281,0.6465076660987906,0.3840975539393742,0.0191211656366406,0.03859750175137761,1.2,4.2,2.5,4.3
2.0,0.002,0.1923076923076923,7962893.537395499,8574046.89495414,4818905.867444244,0.562033999403501,0.6051701991008172,0.3487352589943391,0.011688449361293,0.03415128683627873,1.2,4.2,2.5,4.3
2.0,0.0032,0.1201923076923076,7838872.876970419,9437077.263891552,3631120.3670844575,0.3847717111502273,0.4632197031479121,0.3301128086755399,0.0109570918380745,0.03255226741961214,1.2,4.2,2.5,4.3
2.0,0.005,0.0769230769230769,7841430.003989493,10169694.1548562,2505984.47869198,0.2464168971586357,0.3195825860100781,0.3191433657334636,0.0108611890202053,0.03135783379928088,1.2,4.2,2.5,4.3
2.0,0.008,0.048076923076923,7782616.082550795,10169694.1548562,1631447.03816882,0.1604224289665364,0.2096270740923024,0.3129114699340704,0.0093769648469283,0.03135783379928088,1.2,4.2,2.5,4.3
2.0,0.013,0.029585798816568,7588274.429101185,7501332.110452675,1088057.5466157333,0.1450485767853935,0.1433866891322499,0.309572879600596,0.0087614018922445,0.03651159481250425,1.2,4.2,2.5,4.3
2.0,0.02,0.0192307692307692,7606174.318234702,4864934.153787573,661017.3344304841,0.1358738501970991,0.0869053622457469,0.3091055235925697,0.0077840217562752,0.045337912162605576,1.2,4.2,2.5,4.3
2.0,0.032,0.0120192307692307,7749373.431302835,3186180.265765614,442382.9742997091,0.1388443017656466,0.0570862893911843,0.3105220541928323,0.0073059744427493,0.056022802241832106,1.2,4.2,2.5,4.3
2.0,0.05,0.0076923076923076,7705902.27197858,1821953.0010897843,265941.20998364,0.1459649122807063,0.0345113655218153,0.3110644793789064,0.0058795992147227,0.07408519274646763,1.2,4.2,2.5,4.3
2.7,0.0008,0.6490384615384616,4908405.313111828,2669400.250955841,2309085.698223296,0.8650204095082682,0.4704350091169189,0.4667316566297928,0.0251972302631739,0.06120588071113163,1.2,4.2,2.5,4.3
2.7,0.0013,0.3994082840236687,5400652.264283537,4053140.707645517,3310200.926190694,0.8167002245805577,0.6129261363636107,0.4412595876261944,0.015876430635672,0.049671143659497756,1.2,4.2,2.5,4.3
2.7,0.002,0.2596153846153846,5918470.485645984,5681936.2363816565,4038982.126626731,0.7108460846084426,0.6824368114063321,0.4163100916146819,0.0106221561634538,0.04195191809891664,1.2,4.2,2.5,4.3
