Q2,x,y,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p,sigma_norm
2.0,0.001,0.7692307692307692,0.8404729013630114,0.7721709659198465,0.3796051524919896,0.0262970136738579,0.04338038184738977,1.2,2.5
2.0,0.002,0.3846153846153846,0.7640763857757817,0.8150899785372705,0.3449102339332902,0.0121537750746978,0.03769755840133302,1.2,2.5
2.0,0.0032,0.2403846153846153,0.7243404671507806,0.7820786345626778,0.3283144899173142,0.0110937266346708,0.03600016141243757,1.2,2.5
2.0,0.005,0.1538461538461538,0.6749315068493746,0.7260536398467973,0.3183251503892627,0.0108935295719205,0.03546622519821843,1.2,2.5
2.0,0.008,0.0961538461538461,0.58542298153769,0.6277145811789774,0.3125628466315888,0.0093846815879608,0.03556869369669617,1.2,2.5
2.0,0.013,0.0591715976331361,0.4742591833948574,0.502968863142723,0.3094317144178944,0.0087643750425016,0.03541048542687892,1.2,2.5
2.0,0.02,0.0384615384615384,0.3446836268754545,0.3795431690849464,0.3090436933853129,0.007785211848223,0.03461149175815062,1.2,2.5
2.0,0.032,0.0240384615384615,0.2660215958491307,0.2712324849871525,0.3104978870215195,0.0073064132451772,0.0358840273651618,1.2,2.5
2.0,0.05,0.0153846153846153,0.2363217508159049,0.1784833985791106,0.31105523991689,0.0058797475755349,0.0419854892877865,1.2,2.5
2.0,0.08,0.0096153846153846,0.2302858938108676,0.1045947488584608,0.3108047012619347,0.0073312618666687,0.053710361832225884,1.2,2.5
2.0,0.13,0.0059171597633136,0.1655801825293409,0.0493683187560766,0.3155091191300891,0.0058335579360863,0.0773684181700051,1.2,2.5
2.7,0.0013,0.7988165680473374,0.8844994248788496,0.6804245283018576,0.4142349570347274,0.0213378171989295,0.05932083733295829,1.2,2.5
2.7,0.002,0.5192307692307693,0.8039802666961378,0.7826499170419663,0.4034614533742691,0.0117335207156295,0.04728360249340407,1.2,2.5
2.7,0.0032,0.3245192307692308,0.7434801024642244,0.797636632200937,0.3887849459592691,0.0103791673371788,0.042497675158966304,1.2,2.5
2.7,0.005,0.2076923076923077,0.7092592592593295,0.7618858165904733,0.3759951682437178,0.0098830913825579,0.04123628357274928,1.2,2.5
2.7,0.008,0.1298076923076923,0.6527337189774796,0.6991804917050272,0.365683183797343,0.0086378705374544,0.041393725839010874,1.2,2.5
2.7,0.013,0.0798816568047337,0.581651718983603,0.6090784582273933,0.3580974199251288,0.0079974118159071,0.04142078688144117,1.2,2.5
2.7,0.02,0.0519230769230769,0.476605026253985,0.4876970396001774,0.3553743576996562,0.0067597460224973,0.041533207598497886,1.2,2.5
2.7,0.032,0.032451923076923,0.3554071600816242,0.3721833721833748,0.3541482574218708,0.0066281928930993,0.04127069015660139,1.2,2.5
2.7,0.05,0.0207692307692307,0.2746424112635648,0.2491609081934922,0.3521389832505963,0.0053706598403642,0.044702367198921164,1.2,2.5
2.7,0.08,0.0129807692307692,0.249374999999997,0.1591226321036973,0.349126718585838,0.0061541836249686,0.05356750369748749,1.2,2.5
2.7,0.13,0.0079881656804733,0.2202072538860185,0.0866904640489525,0.3493636328657424,0.0055006623579946,0.07711746577948282,1.2,2.5
2.7,0.2,0.0051923076923076,0.1838521400778212,0.0583693638048167,0.3432722384959308,0.0045351553652097,0.09451045197596716,1.2,2.5
3.5,0.002,0.673076923076923,0.8531071273610553,0.742671009771961,0.44989486059426,0.0112146122098469,0.058615268550666996,1.2,2.5
3.5,0.0032,0.4206730769230769,0.7870711257441739,0.7649133117836988,0.4442540072223079,0.0094557455702063,0.05269219659505196,1.2,2.5
3.5,0.005,0.2692307692307692,0.7333864965443693,0.7530021834060926,0.4284174885326315,0.0089877533220496,0.04940455613433502,1.2,2.5
3.5,0.008,0.1682692307692307,0.7006586677167745,0.7260802469135613,0.4104438785412367,0.007900863328878,0.047739097867436034,1.2,2.5
3.5,0.013,0.1035502958579881,0.6372795969773098,0.6590257879655885,0.3946110251906008,0.0074730729621479,0.048092919737428984,1.2,2.5
3.5,0.02,0.0673076923076923,0.5790293277964884,0.5883438818565064,0.3845558452716608,0.0062223073179619,0.04881765264601359,1.2,2.5
3.5,0.032,0.0420673076923076,0.4578120841096288,0.4690482683392089,0.37580701372191,0.0061307233831589,0.04943742020777202,1.2,2.5
3.5,0.05,0.0269230769230769,0.3434865379385199,0.3386967015285429,0.3676292636572333,0.0050147285215195,0.04997232807181703,1.2,2.5
3.5,0.08,0.016826923076923,0.2866551126516461,0.2236343969713303,0.3597639677828503,0.0052506349349424,0.05641615563079839,1.2,2.5
3.5,0.13,0.0103550295857988,0.2213642213642297,0.1216407355021215,0.3546108748862265,0.0048124122324701,0.07686893962307384,1.2,2.5
3.5,0.2,0.0067307692307692,0.2103049421661398,0.0802246289610919,0.3434691434052729,0.004000991140775,0.09826212207518409,1.2,2.5
4.5,0.002,0.8653846153846153,0.87666079359142,0.6892570281124607,0.4673899901297483,0.0118843957274381,0.07656969566466777,1.2,2.5
4.5,0.0032,0.5408653846153846,0.8310947065093447,0.7911646586345165,0.4876839678380501,0.0089420639431298,0.056816950369001404,1.2,2.5
4.5,0.005,0.3461538461538461,0.7639660719508414,0.7813341310200216,0.474437802075121,0.0083133991332629,0.05182351270447623,1.2,2.5
4.5,0.008,0.2163461538461538,0.7337568582153963,0.7161781285230868,0.4512012968156107,0.0073460736577318,0.051493232028441506,1.2,2.5
4.5,0.013,0.1331360946745562,0.7018361993587606,0.67375489647451,0.4278969987228103,0.0069545420656844,0.05173280637000146,1.2,2.5
4.5,0.02,0.0865384615384615,0.6369842683288476,0.6031478358628097,0.4108898461891551,0.0058232226616172,0.052206657893520726,1.2,2.5
4.5,0.032,0.0540865384615384,0.5185185185184854,0.5103528725575636,0.3951290100652262,0.0057030561021338,0.05216023133218705,1.2,2.5
4.5,0.05,0.0346153846153846,0.4117282035370603,0.3834151979196581,0.3814130431339154,0.0047230512855071,0.05337602704389014,1.2,2.5
4.5,0.08,0.0216346153846153,0.3198992443324946,0.2683368548143636,0.3686518147072598,0.0046476925001233,0.057482033576598444,1.2,2.5
4.5,0.13,0.0133136094674556,0.2639149468417867,0.1594860166288749,0.3586101857686184,0.0042996002894398,0.07577957504999419,1.2,2.5
