Q2,x,y,gen,rec,gen_rec,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p_opt,sigma_p2p_pess,sigma_norm_opt,sigma_norm_pess
2.0,0.00032,0.625,7152523.853960744,3919885.820088212,3384904.2733372664,0.8635211403328819,0.4732461355529572,0.4522256074897723,0.0342185054672099,0.050508362824856386,1.2,4.2,2.5,4.3
2.0,0.0005,0.4,7949138.678757676,6313385.106131948,4982386.315234583,0.7891782667265748,0.6267831669044741,0.4199790411059604,0.0224020944514424,0.03979869752233994,1.2,4.2,2.5,4.3
2.0,0.0008,0.25,8768432.92917185,8484940.108959233,5726554.968292215,0.6749081189442404,0.6530876172001545,0.3954028879793359,0.0188179651846513,0.03433014275879717,1.2,4.2,2.5,4.3
2.0,0.001,0.2,8571405.419124082,9763492.728118138,4749922.202660389,0.4864982578397343,0.554159087150703,0.3849160635421964,0.0179936133603319,0.032003494086447946,1.2,4.2,2.5,4.3
2.0,0.002,0.1,8509036.998677306,10319138.655734869,3383486.809236204,0.3278846153846211,0.3976345160753388,0.3494940827559342,0.0116047670872071,0.03112993945361898,1.2,4.2,2.5,4.3
2.0,0.0032,0.0625,8285077.670709407,10968337.214021765,2327476.0539445505,0.2121995347634953,0.2809238665526308,0.3304951160649697,0.0109288036401773,0.03019462240495047,1.2,4.2,2.5,4.3
2.0,0.005,0.04,7960478.391566173,9766327.656320265,1416046.6369613963,0.1449927431059517,0.1778846153846286,0.3193254880678511,0.0108540562437017,0.03199884883000625,1.2,4.2,2.5,4.3
2.0,0.008,0.025,7977487.960778919,6480645.870057282,866070.5657491744,0.1336395450568755,0.108564321250898,0.3129915342380745,0.009375198080651,0.039281752482927805,1.2,4.2,2.5,4.3
2.0,0.013,0.0153846153846153,7743606.384103663,4232547.805772702,498947.3635739865,0.1178834561285948,0.0644334614680625,0.3096059263208836,0.0087607045342213,0.04860702758876178,1.2,4.2,2.5,4.3
2.0,0.02,0.01,7545161.409954961,2593959.3049443234,303337.3176273688,0.1169398907103824,0.0402028931053947,0.309120123152378,0.0077837386422591,0.06208953692206705,1.2,4.2,2.5,4.3
2.0,0.032,0.00625,7530986.76894434,1630083.716221817,214037.0792604336,0.1313043478260892,0.0284208545078132,0.3105277662449183,0.0073058689498216,0.07832403367732706,1.2,4.2,2.5,4.3
2.7,0.00032,0.84375,4228295.413469516,1700392.799544088,1503929.4112272644,0.884459997496167,0.3556821991283763,0.5426725134758258,0.0458181166298587,0.07668763972882911,1.2,4.2,2.5,4.3
2.7,0.0005,0.54,5743564.537504961,3557834.8936669063,3029120.7839705483,0.8513944223107455,0.5273938795656706,0.5052151890655313,0.0273736179835357,0.053016017985433386,1.2,4.2,2.5,4.3
2.7,0.0008,0.3375,6279365.967706456,5389318.028369489,4168761.921224896,0.7735230875744281,0.6638826185102157,0.4753973087139819,0.0192344566269842,0.043075774400290784,1.2,4.2,2.5,4.3
2.7,0.0013,0.2076923076923077,6694682.949317668,7013612.372056653,4552894.6926127495,0.6491511721908394,0.6800762227398368,0.4462012692715544,0.0150629517587687,0.037759750862634944,1.2,4.2,2.5,4.3
2.7,0.002,0.135,6620974.816062436,7409084.856252994,3783211.685735863,0.5106179452841564,0.5713979875830096,0.4187337828165789,0.0104454918811858,0.03673818659328603,1.2,4.2,2.5,4.3
2.7,0.0032,0.084375,6469306.157248785,7401997.535747684,2783899.4944867147,0.3761011106855914,0.4303242769500693,0.3948195850172219,0.0100225960624231,0.036755770563370184,1.2,4.2,2.5,4.3
2.7,0.005,0.054,6130532.237094929,8039856.381225654,1846955.7236843624,0.2297249647390839,0.3012716763005846,0.378462618258632,0.0098007156557616,0.035267595787426234,1.2,4.2,2.5,4.3
2.7,0.008,0.03375,6088008.314063065,7015029.836157715,1128301.424445731,0.1608405738533147,0.1853317811408697,0.3666514464285929,0.0086145100095543,0.037755935782972504,1.2,4.2,2.5,4.3
2.7,0.013,0.0207692307692307,5754904.250313458,4795281.053894378,678965.3044089237,0.1415903044634928,0.117980295566506,0.3584646993887443,0.0079890346110997,0.045665999415042104,1.2,4.2,2.5,4.3
2.7,0.02,0.0135,5784670.996435763,3219060.97351294,411064.5893081148,0.1276970497578126,0.0710610144572427,0.3555277222083736,0.006756031607967,0.05573594879611699,1.2,4.2,2.5,4.3
2.7,0.032,0.0084375,5607487.983802994,2028391.1286203484,303337.3176273688,0.1495457721872851,0.0540950455005069,0.354205452144991,0.0066270896426631,0.07021407014159757,1.2,4.2,2.5,4.3
2.7,0.05,0.0054,5513935.353132892,1204844.4859031003,194192.58184555892,0.1611764705882356,0.0352185089974301,0.35215994677542,0.0053703450621271,0.09110338270474415,1.2,4.2,2.5,4.3
3.5,0.0005,0.7,4119150.677687705,2096685.167191221,1815771.51346099,0.8660201072979635,0.4408121128698982,0.5840139459359263,0.026731838425143,0.06906108363820139,1.2,4.2,2.5,4.3
3.5,0.0008,0.4375,4513205.697783009,3109916.2377311178,2610968.874157075,0.8395624430264216,0.5785175879396862,0.5576979492995631,0.0164104457683144,0.05670556134878246,1.2,4.2,2.5,4.3
3.5,0.0013,0.2692307692307692,4873241.579452797,4523127.946490444,3458612.4065925227,0.7646505797555664,0.709714950552663,0.5239488369605366,0.0126877671591363,0.047019776836233436,1.2,4.2,2.5,4.3
3.5,0.002,0.175,5101453.299723804,5417547.794260665,3420340.875863832,0.631344845630588,0.6704640177827388,0.4903014173355042,0.0089721900864669,0.04296339816271096,1.2,4.2,2.5,4.3
3.5,0.0032,0.109375,4956871.961415464,5297063.345670382,2684677.007412331,0.5068236553385158,0.5416070917929673,0.4584135067505898,0.0089027005479876,0.043449263252406355,1.2,4.2,2.5,4.3
3.5,0.005,0.07,4782523.876984819,5749234.393909209,1997206.918396976,0.3473865877712056,0.4176052163603899,0.4336751985579832,0.008863573732737,0.04170565943487748,1.2,4.2,2.5,4.3
3.5,0.008,0.04375,4676214.069405157,5750651.858010272,1311154.2934827795,0.2280009859502153,0.2803879963625288,0.4123450149276259,0.0078647960752447,0.041700519155147005,1.2,4.2,2.5,4.3
3.5,0.013,0.0269230769230769,4499031.056772388,4840639.905128367,805119.6094034867,0.1663250366032207,0.178954001260236,0.3952845526023274,0.0074607881189006,0.04545154093875329,1.2,4.2,2.5,4.3
3.5,0.02,0.0175,4284993.977512002,3277177.001656507,561315.7840207358,0.1712802768166043,0.1309956996361177,0.3848229927391837,0.0062169143253181,0.0552395396680478,1.2,4.2,2.5,4.3
3.5,0.032,0.0109375,4072374.362352638,2015633.951710787,313259.5663348059,0.155414908579469,0.0769230769230738,0.3759017921666232,0.0061292280783367,0.07043591609767785,1.2,4.2,2.5,4.3
3.5,0.05,0.007,3946220.0573580647,1213349.270509475,219706.93566468352,0.1810747663551407,0.0556752873563199,0.367662554706731,0.0050143196591788,0.09078353367981927,1.2,4.2,2.5,4.3
4.5,0.0005,0.9,2534425.8126996933,1030522.277983984,912846.8810842372,0.8858099437404151,0.3601789709172289,0.6327571856305875,0.0294565233855478,0.09850795596383262,1.2,4.2,2.5,4.3
4.5,0.0008,0.5625,4382799.000485291,2437696.434896979,2188564.572040413,0.8978002924030636,0.4993531694695746,0.6282198092368417,0.0148433705092341,0.06404868077484709,1.2,4.2,2.5,4.3
4.5,0.0013,0.3461538461538461,4542972.443905314,3580514.319283908,2980927.004534419,0.8325415676959491,0.6561622464898553,0.5961356653564543,0.01090262120716,0.052847846212042596,1.2,4.2,2.5,4.3
4.5,0.002,0.225,4826465.264117746,4662158.944524603,3467117.1911988985,0.7436720267271879,0.7183553597650663,0.5577472147970803,0.0079601578537929,0.04631337837575624,1.2,4.2,2.5,4.3
4.5,0.0032,0.140625,4759844.451367824,5165239.184271601,3175119.5863799984,0.6147091108671964,0.6670637284097745,0.5181010436169013,0.0080693902953612,0.044000213267900955,1.2,4.2,2.5,4.3
4.5,0.005,0.09,4728660.241144457,5040502.343378131,2571279.8793273214,0.5101237345331847,0.543764988009586,0.4849698669423508,0.0081251876604675,0.04454132062826504,1.2,4.2,2.5,4.3
